Source SourceType Target TargetType Pmax Radius Weight Wstd Delay Dstd
2/3 E 2/3 E 0.192 0.0003 87.8*pA 8.78*pA 1.5 0.75
2/3 I 2/3 E 0.3095 0.000175 -351.2*pA 8.78*pA 0.8 0.4
4 E 2/3 E 0.3356 5e-05 175.6*pA 8.78*pA 1.5 0.75
4 I 2/3 E 0.5802 5e-05 -351.2*pA 8.78*pA 0.8 0.4
5 E 2/3 E 0.0143 5e-05 87.8*pA 8.78*pA 1.5 0.75
6 E 2/3 E 0.0159 5e-05 87.8*pA 8.78*pA 1.5 0.75
2/3 E 2/3 I 0.252 0.0003 87.8*pA 8.78*pA 1.5 0.75
2/3 I 2/3 I 0.2553 0.000175 -351.2*pA 8.78*pA 0.8 0.4
4 E 2/3 I 0.2558 5e-05 87.8*pA 8.78*pA 1.5 0.75
4 I 2/3 I 0.4183 5e-05 -351.2*pA 8.78*pA 0.8 0.4
5 E 2/3 I 0.034 5e-05 87.8*pA 8.78*pA 1.5 0.75
6 E 2/3 I 0.008 5e-05 87.8*pA 8.78*pA 1.5 0.75
2/3 E 4 E 0.016 5e-05 87.8*pA 8.78*pA 1.5 0.75
2/3 I 4 E 0.012 5e-05 -351.2*pA 8.78*pA 0.8 0.4
4 E 4 E 0.3725 0.0003 87.8*pA 8.78*pA 1.5 0.75
4 I 4 E 0.7704 0.000175 -351.2*pA 8.78*pA 0.8 0.4
5 E 4 E 0.0031 5e-05 87.8*pA 8.78*pA 1.5 0.75
6 E 4 E 0.0879 5e-05 87.8*pA 8.78*pA 1.5 0.75
2/3 E 4 I 0.1334 5e-05 87.8*pA 8.78*pA 1.5 0.75
2/3 I 4 I 0.006 5e-05 -351.2*pA 8.78*pA 0.8 0.4
4 E 4 I 0.5266 0.0003 87.8*pA 8.78*pA 1.5 0.75
4 I 4 I 0.8295 0.000175 -351.2*pA 8.78*pA 0.8 0.4
5 E 4 I 0.0013 5e-05 87.8*pA 8.78*pA 1.5 0.75
6 E 4 I 0.2007 5e-05 87.8*pA 8.78*pA 1.5 0.75
2/3 E 5 E 0.1902 5e-05 87.8*pA 8.78*pA 1.5 0.75
2/3 I 5 E 0.1202 5e-05 -351.2*pA 8.78*pA 0.8 0.4
4 E 5 E 0.3785 5e-05 87.8*pA 8.78*pA 1.5 0.75
4 I 5 E 0.0592 5e-05 -351.2*pA 8.78*pA 0.8 0.4
5 E 5 E 0.0377 0.0003 87.8*pA 8.78*pA 1.5 0.75
5 I 5 E 0.1662 0.000175 -351.2*pA 8.78*pA 0.8 0.4
6 E 5 E 0.0396 5e-05 87.8*pA 8.78*pA 1.5 0.75
2/3 E 5 I 0.1071 5e-05 87.8*pA 8.78*pA 1.5 0.75
2/3 I 5 I 0.0533 5e-05 -351.2*pA 8.78*pA 0.8 0.4
4 E 5 I 0.2129 5e-05 87.8*pA 8.78*pA 1.5 0.75
4 I 5 I 0.0201 5e-05 -351.2*pA 8.78*pA 0.8 0.4
5 E 5 I 0.027 0.0003 87.8*pA 8.78*pA 1.5 0.75
5 I 5 I 0.1374 0.000175 -351.2*pA 8.78*pA 0.8 0.4
6 E 5 I 0.0179 5e-05 87.8*pA 8.78*pA 1.5 0.75
2/3 E 6 E 0.0318 5e-05 87.8*pA 8.78*pA 1.5 0.75
2/3 I 6 E 0.014 5e-05 -351.2*pA 8.78*pA 0.8 0.4
4 E 6 E 0.1754 5e-05 87.8*pA 8.78*pA 1.5 0.75
4 I 6 E 0.1597 5e-05 -351.2*pA 8.78*pA 0.8 0.4
5 E 6 E 0.0257 5e-05 87.8*pA 8.78*pA 1.5 0.75
5 I 6 E 0.0078 5e-05 -351.2*pA 8.78*pA 0.8 0.4
6 E 6 E 0.0784 0.000225 87.8*pA 8.78*pA 1.5 0.75
6 I 6 E 0.399 0.000175 -351.2*pA 8.78*pA 0.8 0.4
2/3 E 6 I 0.0708 5e-05 87.8*pA 8.78*pA 1.5 0.75
2/3 I 6 I 0.002 5e-05 -351.2*pA 8.78*pA 0.8 0.4
4 E 6 I 0.0269 5e-05 87.8*pA 8.78*pA 1.5 0.75
4 I 6 I 0.0101 5e-05 -351.2*pA 8.78*pA 0.8 0.4
5 E 6 I 0.0125 5e-05 87.8*pA 8.78*pA 1.5 0.75
5 I 6 I 0.0031 5e-05 -351.2*pA 8.78*pA 0.8 0.4
6 E 6 I 0.1276 0.000225 87.8*pA 8.78*pA 1.5 0.75
6 I 6 I 0.267 0.000175 -351.2*pA 8.78*pA 0.8 0.4
