Source SourceType Target TargetType Pmax Radius Weight Wstd Delay Dstd
2/3 E 2/3 E 0.6549 0.0003 87.8*pA 8.78*pA 1.5 0.75
2/3 I 2/3 E 0.8422 0.000175 -351.2*pA 8.78*pA 0.8 0.4
4 E 2/3 E 0.8685 5e-05 175.6*pA 8.78*pA 1.5 0.75
4 I 2/3 E 0.987 5e-05 -351.2*pA 8.78*pA 0.8 0.4
5 E 2/3 E 0.0696 5e-05 87.8*pA 8.78*pA 1.5 0.75
6 E 2/3 E 0.0772 5e-05 87.8*pA 8.78*pA 1.5 0.75
2/3 E 2/3 I 0.7652 0.0003 87.8*pA 8.78*pA 1.5 0.75
2/3 I 2/3 I 0.7699 0.000175 -351.2*pA 8.78*pA 0.8 0.4
4 E 2/3 I 0.7693 5e-05 87.8*pA 8.78*pA 1.5 0.75
4 I 2/3 I 0.9334 5e-05 -351.2*pA 8.78*pA 0.8 0.4
5 E 2/3 I 0.1588 5e-05 87.8*pA 8.78*pA 1.5 0.75
6 E 2/3 I 0.0393 5e-05 87.8*pA 8.78*pA 1.5 0.75
2/3 E 4 E 0.0771 5e-05 87.8*pA 8.78*pA 1.5 0.75
2/3 I 4 E 0.0583 5e-05 -351.2*pA 8.78*pA 0.8 0.4
4 E 4 E 0.901 0.0003 87.8*pA 8.78*pA 1.5 0.75
4 I 4 E 0.9994 0.000175 -351.2*pA 8.78*pA 0.8 0.4
5 E 4 E 0.0155 5e-05 87.8*pA 8.78*pA 1.5 0.75
6 E 4 E 0.3689 5e-05 87.8*pA 8.78*pA 1.5 0.75
2/3 E 4 I 0.5105 5e-05 87.8*pA 8.78*pA 1.5 0.75
2/3 I 4 I 0.0295 5e-05 -351.2*pA 8.78*pA 0.8 0.4
4 E 4 I 0.9755 0.0003 87.8*pA 8.78*pA 1.5 0.75
4 I 4 I 0.9999 0.000175 -351.2*pA 8.78*pA 0.8 0.4
5 E 4 I 0.0066 5e-05 87.8*pA 8.78*pA 1.5 0.75
6 E 4 I 0.6738 5e-05 87.8*pA 8.78*pA 1.5 0.75
2/3 E 5 E 0.651 5e-05 87.8*pA 8.78*pA 1.5 0.75
2/3 I 5 E 0.4718 5e-05 -351.2*pA 8.78*pA 0.8 0.4
4 E 5 E 0.9056 5e-05 87.8*pA 8.78*pA 1.5 0.75
4 I 5 E 0.2631 5e-05 -351.2*pA 8.78*pA 0.8 0.4
5 E 5 E 0.1748 0.0003 87.8*pA 8.78*pA 1.5 0.75
5 I 5 E 0.5957 0.000175 -351.2*pA 8.78*pA 0.8 0.4
6 E 5 E 0.1829 5e-05 87.8*pA 8.78*pA 1.5 0.75
2/3 E 5 I 0.4318 5e-05 87.8*pA 8.78*pA 1.5 0.75
2/3 I 5 I 0.2389 5e-05 -351.2*pA 8.78*pA 0.8 0.4
4 E 5 I 0.6951 5e-05 87.8*pA 8.78*pA 1.5 0.75
4 I 5 I 0.0966 5e-05 -351.2*pA 8.78*pA 0.8 0.4
5 E 5 I 0.1282 0.0003 87.8*pA 8.78*pA 1.5 0.75
5 I 5 I 0.5213 0.000175 -351.2*pA 8.78*pA 0.8 0.4
6 E 5 I 0.0864 5e-05 87.8*pA 8.78*pA 1.5 0.75
2/3 E 6 E 0.1488 5e-05 87.8*pA 8.78*pA 1.5 0.75
2/3 I 6 E 0.0677 5e-05 -351.2*pA 8.78*pA 0.8 0.4
4 E 6 E 0.616 5e-05 87.8*pA 8.78*pA 1.5 0.75
4 I 6 E 0.581 5e-05 -351.2*pA 8.78*pA 0.8 0.4
5 E 6 E 0.122 5e-05 87.8*pA 8.78*pA 1.5 0.75
5 I 6 E 0.0384 5e-05 -351.2*pA 8.78*pA 0.8 0.4
6 E 6 E 0.3351 0.000225 87.8*pA 8.78*pA 1.5 0.75
6 I 6 E 0.9203 0.000175 -351.2*pA 8.78*pA 0.8 0.4
2/3 E 6 I 0.3067 5e-05 87.8*pA 8.78*pA 1.5 0.75
2/3 I 6 I 0.0099 5e-05 -351.2*pA 8.78*pA 0.8 0.4
4 E 6 I 0.1267 5e-05 87.8*pA 8.78*pA 1.5 0.75
4 I 6 I 0.0495 5e-05 -351.2*pA 8.78*pA 0.8 0.4
5 E 6 I 0.061 5e-05 87.8*pA 8.78*pA 1.5 0.75
5 I 6 I 0.0155 5e-05 -351.2*pA 8.78*pA 0.8 0.4
6 E 6 I 0.4947 0.000225 87.8*pA 8.78*pA 1.5 0.75
6 I 6 I 0.7863 0.000175 -351.2*pA 8.78*pA 0.8 0.4
